Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,,,,,,
210,"Huiling Chen, Qian Zhang, Jie Luo, Yueting Xu, Xiaoqin Zhang",An enhanced Bacterial Foraging Optimization and its application for training kernel extreme learning machine,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619306659,,1,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105884,1568-4946,,86,,105884,105884,210,52.5,42,5,4,,,,,,,,,
128,"Te Han, Chao Liu, Rui Wu, Dongxiang Jiang",Deep transfer learning with limited data for machinery fault diagnosis,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621000739,,2,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107150,1568-4946,,103,,107150,107150,128,42.67,32,4,3,,,,,,,,,
196,"Ahmad Al-Qerem, Mohammad Alauthman, Ammar Almomani, B. B. Gupta",IoT transaction processing through cooperative concurrency control on fog–cloud computing environment,2019,Soft Computing,Springer Science and Business Media LLC,http://link.springer.com/content/pdf/10.1007/s00500-019-04220-y.pdf,,3,5/14/2024 20:15,journal-article,10.1007/s00500-019-04220-y,1432-7643,,24,8,5695,5711,196,39.2,49,4,5,,,,,,,,other,1000
194,"Pei Du, Jianzhou Wang, Wendong Yang, Tong Niu",A novel hybrid model for short-term wind power forecasting,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619301619,,4,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.03.035,1568-4946,,80,,93,106,194,38.8,49,4,5,,,,,,,,2019,175
194,"Pei Du, Jianzhou Wang, Wendong Yang, Tong Niu",A novel hybrid model for short-term wind power forecasting,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619301619,,5,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.03.035,1568-4946,,80,,93,106,194,38.8,49,4,5,,,,,,,,2020,175
148,"Zhihan Lv, Liang Qiao",Deep belief network and linear perceptron based cognitive computing for collaborative robots,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620302404,,6,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106300,1568-4946,,92,,106300,106300,148,37,74,2,4,,,,,,,,2021,232
168,"Zhou Tao, Lu Huiling, Wang Wenwen, Yong Xia",GA-SVM based feature selection and parameter optimization in hospitalization expense modeling,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494618306264,,7,5/14/2024 20:15,journal-article,10.1016/j.asoc.2018.11.001,1568-4946,,75,,323,332,168,33.6,42,4,5,,,,,,,,2022,164
100,"Zhong-kai Feng, Wen-jing Niu, Shuai Liu",Cooperation search algorithm: A novel metaheuristic evolutionary intelligence algorithm for numerical optimization and engineering optimization problems,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620306724,,8,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106734,1568-4946,,98,,106734,106734,100,33.33,33,3,3,,,,,,,,2023,254
100,"Ling-Ling Li, Zhi-Feng Liu, Ming-Lang Tseng, Sheng-Jie Zheng, Ming K. Lim",Improved tunicate swarm algorithm: Solving the dynamic economic emission dispatch problems,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621004270,,9,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107504,1568-4946,,108,,107504,107504,100,33.33,20,5,3,,,,,,,,total,1000
132,"Ryoji Tanabe, Hisao Ishibuchi",An easy-to-use real-world multi-objective optimization problem suite,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620300181,,10,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106078,1568-4946,,89,,106078,106078,132,33,66,2,4,,,,,,,,,
127,"N. Dong, L. Zhao, C.H. Wu, J.F. Chang",Inception v3 based cervical cell classification combined with artificially extracted features,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620302519,,11,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106311,1568-4946,,93,,106311,106311,127,31.75,32,4,4,,,,,,,,,
94,"Shaoze Cui, Yunqiang Yin, Dujuan Wang, Zhiwu Li, Yanzhang Wang",A stacking-based ensemble learning method for earthquake casualty prediction,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620309765,,12,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.107038,1568-4946,,101,,107038,107038,94,31.33,19,5,3,,,,,,,,,
120,"Pei-Cheng Song, Jeng-Shyang Pan, Shu-Chuan Chu",A parallel compact cuckoo search algorithm for three-dimensional path planning,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620303835,,13,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106443,1568-4946,,94,,106443,106443,120,30,40,3,4,,,,,,,,,
86,"Wenbin Gao, Lei Zhang, Qi Teng, Jun He, Hao Wu",DanHAR: Dual Attention Network for multimodal human activity recognition using wearable sensors,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621006499,,14,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107728,1568-4946,,111,,107728,107728,86,28.67,17,5,3,,,,,,,,,
57,"Sitong Zhang, Yibing Li, Qianhui Dong",Autonomous navigation of UAV in multi-obstacle environments based on a Deep Reinforcement Learning approach,2022,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621010383,,15,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.108194,1568-4946,,115,,108194,108194,57,28.5,19,3,2,,,,,,,,A1: Tahun  | B1: Jumlah,
83,"Yaoyao He, Yun Wang",Short-term wind power prediction based on EEMD–LASSO–QRNN model,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621002118,,16,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107288,1568-4946,,105,,107288,107288,83,27.67,42,2,3,,,,,,,,"A2: 2019   | B2: =COUNTIF(D2:D1002, ""2019"")",
54,"Yingying Cui, Xi Meng, Junfei Qiao",A multi-objective particle swarm optimization algorithm based on two-archive mechanism,2022,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494622000680,,17,5/14/2024 20:15,journal-article,10.1016/j.asoc.2022.108532,1568-4946,,119,,108532,108532,54,27,18,3,2,,,,,,,,"A3: 2020   | B3: =COUNTIF(D2:D1002, ""2020"")",
108,"Rui Sun, Guanyu Wang, Wenyu Zhang, Li-Ta Hsu, Washington Y. Ochieng",A gradient boosting decision tree based GPS signal reception classification algorithm,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619307239,,18,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105942,1568-4946,,86,,105942,105942,108,27,22,5,4,,,,,,,,"A4: 2021   | B4: =COUNTIF(D2:D1002, ""2021"")",
107,"Yu Xue, Tao Tang, Wei Pang, Alex X. Liu",Self-adaptive parameter and strategy based particle swarm optimization for large-scale feature selection problems with multiple classifiers,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619308130,,19,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.106031,1568-4946,,88,,106031,106031,107,26.75,27,4,4,,,,,,,,"A5: 2022   | B5: =COUNTIF(D2:D1002, ""2022"")",
102,"Guo-Niu Zhu, Jie Hu, Hongliang Ren",A fuzzy rough number-based AHP-TOPSIS for design concept evaluation under uncertain environments,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S156849462030168X,,20,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106228,1568-4946,,91,,106228,106228,102,25.5,34,3,4,,,,,,,,"A6: 2023   | B6: =COUNTIF(D2:D1002, ""2023"")",
