Provinsi,2021,2022,2023,Klaster
ACEH,0.10106383,0.064829822,0.089463221,1
SUMATERA UTARA,0.710992908,0.55267423,0.673956262,0
SUMATERA BARAT,0.322695035,0.303079417,0.41749503,2
RIAU,0.363475177,0.231766613,0.326043738,2
JAMBI,0.184397163,0.155591572,0.270377734,1
SUMATERA SELATAN,0.343971631,0.34197731,0.347912525,2
BENGKULU,0.19858156,0.191247974,0.258449304,1
LAMPUNG,0.485815603,0.303079417,0.37972167,2
KEP. BANGKA BELITUNG,0.439716312,0.382495948,0.489065606,2
KEP. RIAU,0.026595745,0.204213938,0.280318091,1
DKI JAKARTA,0,0,0,1
JAWA BARAT,0.138297872,0.196110211,0.260437376,1
JAWA TENGAH,0.255319149,0.291734198,0.332007952,2
DI YOGYAKARTA,0.219858156,0.175040519,0.232604374,1
JAWA TIMUR,0.210992908,0.145867099,0.194831014,1
BANTEN,0.044326241,0.209076175,0.252485089,1
BALI,0.510638298,0.555915721,0.717693837,0
NUSA TENGGARA BARAT,0.695035461,0.549432739,0.652087475,0
NUSA TENGGARA TIMUR,0.65070922,0.73095624,0.89860835,0
KALIMANTAN BARAT,0.475177305,0.41815235,0.242544732,2
KALIMANTAN TENGAH,0.478723404,0.275526742,0.339960239,2
KALIMANTAN SELATAN,0.377659574,0.235008104,0.264413519,2
KALIMANTAN TIMUR,0.244680851,0.191247974,0.210735586,1
KALIMANTAN UTARA,0.858156028,0.573743922,0.671968191,0
SULAWESI UTARA,0.382978723,0.179902755,0.244532803,2
SULAWESI TENGAH,0.762411348,0.542949757,0.715705765,0
SULAWESI SELATAN,0.79964539,0.601296596,0.737574553,0
SULAWESI TENGGARA,1,0.56726094,0.652087475,0
GORONTALO,0.613475177,1,0.952286282,0
SULAWESI BARAT,0.829787234,0.923824959,1,0
MALUKU,0.296099291,0.366288493,0.479125249,2
MALUKU UTARA,0.230496454,0.29821718,0.399602386,2
PAPUA BARAT,0.530141844,0.358184765,0.495029821,2
PAPUA,0.430851064,0.630470016,0.64612326,0
INDONESIA,0.320921986,0.296596434,0.359840954,2
PAPUA,0.430851064,0.630470016,0.64612326,0
INDONESIA,0.320921986,0.296596434,0.359840954,2
